algo,n,time_ns,depth,comparisons,swaps,allocs
mergesort,1000,1313900,5,4926,0,1000
mergesort,1000,371700,5,4943,0,1000
mergesort,1000,375100,5,4938,0,1000
mergesort,2000,625700,6,11881,0,2000
mergesort,2000,190900,6,11882,0,2000
mergesort,2000,167300,6,11876,0,2000
mergesort,3000,278000,7,20761,0,3000
mergesort,3000,258900,7,20755,0,3000
mergesort,3000,252100,7,20733,0,3000
mergesort,4000,353300,7,27776,0,4000
mergesort,4000,355200,7,27771,0,4000
mergesort,4000,360500,7,27751,0,4000
mergesort,5000,526000,8,39508,0,5000
mergesort,5000,491600,8,39516,0,5000
mergesort,5000,780900,8,39492,0,5000
mergesort,6000,654600,8,47520,0,6000
mergesort,6000,895900,8,47520,0,6000
mergesort,6000,718100,8,47507,0,6000
mergesort,7000,865000,8,55492,0,7000
mergesort,7000,1460100,8,55493,0,7000
mergesort,7000,1654500,8,55487,0,7000
mergesort,8000,2045500,8,63511,0,8000
mergesort,8000,2435500,8,63484,0,8000
mergesort,8000,2015600,8,63514,0,8000
mergesort,9000,2038100,9,80029,0,9000
mergesort,9000,1608600,9,80032,0,9000
mergesort,9000,851700,9,80016,0,9000
mergesort,10000,793300,9,88999,0,10000
mergesort,10000,797400,9,88930,0,10000
mergesort,10000,793200,9,89049,0,10000
quicksort,1000,1305200,4,12567,4450,0
quicksort,1000,468900,4,11320,4462,0
quicksort,1000,568400,4,11298,4762,0
quicksort,2000,296500,5,25482,12739,0
quicksort,2000,378400,5,26213,12343,0
quicksort,2000,366400,5,24008,10306,0
quicksort,3000,629100,5,42830,15647,0
quicksort,3000,617900,5,44302,15939,0
quicksort,3000,612200,5,42429,19699,0
quicksort,4000,895200,6,57184,26904,0
quicksort,4000,834100,5,54847,24393,0
quicksort,4000,838900,6,55237,23066,0
quicksort,5000,1088500,6,73977,30225,0
quicksort,5000,1077100,6,72106,25417,0
quicksort,5000,1036800,6,72971,28319,0
quicksort,6000,1375500,6,91108,36016,0
quicksort,6000,797400,6,85876,34091,0
quicksort,6000,961400,6,85260,38732,0
quicksort,7000,1038200,6,106732,40785,0
quicksort,7000,1026800,6,105773,47619,0
quicksort,7000,979800,6,118165,55526,0
quicksort,8000,997100,6,124910,56376,0
quicksort,8000,1616900,7,128030,53437,0
quicksort,8000,1585200,6,125494,55433,0
quicksort,9000,2112200,7,146255,67260,0
quicksort,9000,1891700,6,151956,63212,0
quicksort,9000,1783500,6,142760,58386,0
quicksort,10000,2086200,6,165888,63968,0
quicksort,10000,2449400,6,167783,66064,0
quicksort,10000,2043000,7,165339,72770,0
select,1000,9512500,0,0,0,0
select,1000,260400,0,0,0,0
select,1000,115800,0,0,0,0
select,2000,311500,0,0,0,0
select,2000,225600,0,0,0,0
select,2000,195800,0,0,0,0
select,3000,225200,0,0,0,0
select,3000,446800,0,0,0,0
select,3000,326800,0,0,0,0
select,4000,306700,0,0,0,0
select,4000,318200,0,0,0,0
select,4000,1285400,0,0,0,0
select,5000,1222500,0,0,0,0
select,5000,1287400,0,0,0,0
select,5000,1034400,0,0,0,0
select,6000,445600,0,0,0,0
select,6000,618100,0,0,0,0
select,6000,649400,0,0,0,0
select,7000,586300,0,0,0,0
select,7000,596500,0,0,0,0
select,7000,634500,0,0,0,0
select,8000,668800,0,0,0,0
select,8000,668300,0,0,0,0
select,8000,552000,0,0,0,0
select,9000,325800,0,0,0,0
select,9000,299500,0,0,0,0
select,9000,394300,0,0,0,0
select,10000,317500,0,0,0,0
select,10000,340400,0,0,0,0
select,10000,332100,0,0,0,0
closest,1000,22184200,0,0,0,0
closest,1000,3171500,0,0,0,0
closest,1000,3191100,0,0,0,0
closest,2000,5938000,0,0,0,0
closest,2000,3678000,0,0,0,0
closest,2000,2186900,0,0,0,0
closest,3000,3046100,0,0,0,0
closest,3000,2870100,0,0,0,0
closest,3000,2891600,0,0,0,0
closest,4000,2816500,0,0,0,0
closest,4000,3305000,0,0,0,0
closest,4000,2886400,0,0,0,0
closest,5000,4174900,0,0,0,0
closest,5000,5133300,0,0,0,0
closest,5000,5223300,0,0,0,0
closest,6000,7403400,0,0,0,0
closest,6000,7048100,0,0,0,0
closest,6000,5786600,0,0,0,0
closest,7000,7897900,0,0,0,0
closest,7000,6182900,0,0,0,0
closest,7000,8493700,0,0,0,0
closest,8000,10311800,0,0,0,0
closest,8000,12091500,0,0,0,0
closest,8000,9736900,0,0,0,0
closest,9000,15343800,0,0,0,0
closest,9000,17368600,0,0,0,0
closest,9000,20296100,0,0,0,0
closest,10000,18987300,0,0,0,0
closest,10000,15192700,0,0,0,0
closest,10000,23479300,0,0,0,0
